policy,scenario,seed,clusters,requests,measured,trace_sha256,ttft_mean_s,ttft_p95_s,e2e_mean_s,e2e_p95_s,p_wait_mean_s,prefill_mean_s,d_wait_mean_s,token_hit_ratio,switch_ratio,completed_rps,drain_seconds,max_decode_batch,observation_samples,case
algorithm_two,steady,31,8,1800,1440,6abdec76a5cdeb4e07d682a70218d5ff8d9605ddaaed4f7cfba97e3845f1a405,0.2827581184322084,1.2275903531199361,3.1741544003904494,4.579191750270816,0.04692852543994024,0.169722587654321,0.023152527458666257,0.7748234615938896,0.09166666666666666,13.359146119740473,4.639762507060709,16,539,steady_8
round_robin,steady,47,8,1800,1440,bbb755350e7a4dfb6692cede3b0c9a2dc2ae8f6e718cef5760ce8c49a65222a1,0.5113366132545724,1.434640387394225,3.3912003266066906,5.105533454045002,0.16839849966799356,0.286535175308642,0.013104336820217142,0.6128855888110901,0.7618055555555555,13.552634491483476,5.168724413663355,11,532,steady_8
least_wait,steady,47,8,1800,1440,bbb755350e7a4dfb6692cede3b0c9a2dc2ae8f6e718cef5760ce8c49a65222a1,0.37558210498380773,1.25262852386874,3.255448958293032,4.831303224244998,0.03220650155862709,0.2869302370370371,0.013156680508274756,0.6123212049595231,0.7701388888888889,13.644433135707276,4.275152419149279,13,528,steady_8
algorithm_one,steady,47,8,1800,1440,bbb755350e7a4dfb6692cede3b0c9a2dc2ae8f6e718cef5760ce8c49a65222a1,0.2627425247198187,1.1935543067465773,3.142499923322432,4.569789547409336,0.07953905295513512,0.12694258271604938,0.012978121307130457,0.8408790278488156,0.0,13.608677477683642,4.621766228297858,15,530,steady_8
algorithm_two,steady,47,8,1800,1440,bbb755350e7a4dfb6692cede3b0c9a2dc2ae8f6e718cef5760ce8c49a65222a1,0.28856283645449854,1.2199841820048078,3.1684464884470427,4.602463380833612,0.05674860833678432,0.17122653333333335,0.017314545325262574,0.777615125487222,0.09444444444444444,13.613091631734228,4.578877091912531,16,530,steady_8
round_robin,steady,89,8,1800,1440,506364b22749c6aee620c7e8b26e5a5881a2531296a168f70238698d158a8929,0.4759073106254814,1.4086097131404216,3.384991925860633,5.088980229984571,0.13961444355442962,0.2802734666666667,0.013293414647638307,0.6065150043078954,0.7527777777777778,12.8837374225828,4.208440700031417,11,559,steady_8
least_wait,steady,89,8,1800,1440,506364b22749c6aee620c7e8b26e5a5881a2531296a168f70238698d158a8929,0.3495361532774345,1.2333141982804534,3.258717119173987,4.769267099320871,0.014217754138863128,0.27953272592592593,0.01307551040405689,0.6076148924859306,0.7590277777777777,12.886294220194976,4.180720334732257,12,559,steady_8
algorithm_one,steady,89,8,1800,1440,506364b22749c6aee620c7e8b26e5a5881a2531296a168f70238698d158a8929,0.28337826957902623,1.2144794389646947,3.1924977048144694,4.762595916151206,0.09804828425876973,0.12931050370370373,0.013326271551051273,0.8306722149914759,0.0,12.854168187879447,4.529826546136746,16,561,steady_8
algorithm_two,steady,89,8,1800,1440,506364b22749c6aee620c7e8b26e5a5881a2531296a168f70238698d158a8929,0.279758586462251,1.216816223573602,3.1889812283754555,4.666564365481904,0.043333489795627816,0.17202655308641976,0.021707517818207213,0.7672453300581108,0.10833333333333334,12.887284360559693,4.169988355678925,16,559,steady_8
round_robin,steady,31,16,1800,1440,ce6612573e5185e834171db509f1fa0b58629407d01e8454c1177e2d38533ddd,0.6844859151136232,2.0036318143494256,3.5763364664889385,5.447743559932341,0.2808469925608866,0.3475003654320988,0.01314855654491678,0.5154200893500505,0.8215277777777777,25.599378745981326,5.264512354315116,11,282,steady_16
